,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
218,"Amazing And Bright Unit !!!Suitable For A Student Or A Professional. Excellent Location From Wilfrid Laurier University, University Of Waterloo And Conestoga College. Bright Unit With High Ceilings, Modern Kitchen, En Suite Laundry. Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. Book Your Showing Today!**** EXTRAS **** S/S Appliances (Fridge, Stove) En-Suite Laundry; Front Loader Washer/Dryer, Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. (30446644)",1,Apartment,"#G116 -275 LARCH ST|Waterloo, Ontario N2L3R2","$1,500/Monthly",Single Family,Condominium/Strata,
219,"CORKTOWN Locale! Nicely renovated basement unit with separate entrance & parking. Nice kitchen w. Peninsula, S/S appliances +lots of cupboards, 3 piece bath with walk-in shower &  Living Room offers lots of custom built-ins * Spacious bdrm. lots of b/ins & double closet for extra storage space! Common laundry as well. Rent includes; laundry, heat, hydro, water & parking*Min.- 1 year lease, available Sept. 1/2022. A convenient locale steps to parks, transit routes, shops & cafes of downtown's International Village, trails and the downtown GO station. No smokers, no pets. (28828340)",0 + 1,Apartment,"#4- 119 Wellington Street S|Hamilton, Ontario L8N2R3","$1,500/Monthly",Single Family,Freehold,1
220,"1 Bedroom 1 Bath Basement Apartment In Sought After Neighbourhood! Very Clean And Bright Through-Out Property. Separate Entrance And Separate Laundry. Close To Schools, Transit, Shopping, Restaurants, Hwys, Etc. (30432465)",1,House,"#BSMT -9 FAIAL RD|Cambridge, Ontario N1R6Y1","$1,500/Monthly",Single Family,Freehold,1
221,"West Galt apartment available for immediate occupancy. 1 Bedroom, 1 Bath, newly renovated and move in ready. (65038570)",1 + 0,Apartment,"69-71 CEDAR Street Unit# 69|Cambridge, Ontario N1S1V5","$1,500/Monthly",Single Family,Freehold,
222,"West Galt Apartment Available For Immediate Occupancy. 1 Bedroom, 1 Bath, Newly Renovated And Move In Ready.**** EXTRAS **** Inclusions: Fridge & Stove (30453270)",1,Fourplex,"#69 -69-71 CEDAR ST|Cambridge, Ontario N1S1V5","$1,500/Monthly",Single Family,,
223,"Absolutely Clean, Spacious Finished Large Size Basement Apartment In Churchill Meadows Neighbourhood! New Laminate Floors Throughout, Large Living Space Area, Eat- In Kitchen Features Tile Floors & Backsplash! Separate Entrance Through Garage, Street Parking, No Pets, No Smoking. Shared On-Site Laundry. Tenant Pays 30% Of Utilities. $200 Refundable Key Deposit Required. One Of The Most Desirable Areas In Mississauga!**** EXTRAS **** Fridge, Stove, Shared On-Site Laundry. Conveniently Located Close To All Shopping, Highway 401 & 407, Transit, School, Parks And More! (30379570)",1,House,"#BSMT -3150 WORKMAN DR|Mississauga, Ontario L5M6K8","$1,500/Monthly",Single Family,Freehold,
224,"Bright & Spotless One Bedroom + Living Room Legal Basement Apartment In Prime Location. Separate Laundry, No Parking, Located In The Coveted Pineridge Community Of South Guelph, Just Steps From Some Of The Areas Best Schools, Parks, And Walking Trails. This House Is Also Commuter Friendly As It Is 10 Minutes To The 401 Or Highway 7 And 5 Minutes To Highway 6. Sep.Entrance.**** EXTRAS **** Fridge, Washer & Dryer, Counter Top Burner & Convection Oven (30186501)",1,Other,"84 CLOUGH CRES|Guelph, Ontario N1L0E3","$1,500/Monthly",Single Family,,
225,"2 Bedroom Basement With Separate Entrance! One Wash Room. Located In Great Area Near Yonge Street, Shopping, Transit, Places Of Worship. Basement Only - Upstairs And Yard Are Not Included. One Car Parking Lot On Driveway. Extras: Fridge, Stove, Washer, Dryer, Elf's, Window Coverings (30439344)",2,House,"125 GREEN BUSH CRES|Vaughan, Ontario L4J5M3","$1,500/Monthly",Single Family,Freehold,1
226,"Welcome To This Tastefully Renovated Basement Unit In A Desirable Midtown Neighbourhood. Walking Distance To Shops & Restaurants, Home Depot, Ttc. Separate Entrance, Laminate Floor, Pot Lights. Perfect For Quiet Working Professional Or Student. Absolutely No Use Of Backyard, No Visitors, No Smoking & No Pets**** EXTRAS **** S/S Fridge, Stove, Washer & Dryer, Hood Fan, All Elfs. Street Parking Available By Permit. All Utilities & Internet Included. (30420408)",1,House,"#BSMT -583 OLD WESTON RD|Toronto, Ontario M6N3B2","$1,500/Monthly",Single Family,Freehold,
227,"Location ~ Location ~ Location!!! This Spacious 2 Bedroom Lower Level Apartment For Lease Is Located Close To All Amenities; Schools, Parks, Place Of Worship, Shopping, Transit & 401.**** EXTRAS **** Fridge, Stove, Hood Range Fan.  1 Parking On Driveway Is Included. (30416852)",2,House,"#BSMT -5 HILLBECK CRES|Toronto, Ontario M1B2M8","$1,500/Monthly",Single Family,Freehold,
228,"Solid Brick Home With Top To Bottom Renovation On A 140 Ft Treed Lot In A Wonderful & Quiet Neighborhood! Separate Side Entrance To A Spacious Basement 1 Bedroom (Large) + 1 Full Bath Apartment With Large A/G Windows Plus A Rec/Fam Room, Full Kitchen. 8Min.To Whitby Go, 6 Min.To 401, 4 Min.To Downtown Whitby,12 Min.To Colleges/Universities & Waterfront**** EXTRAS **** White Appliances (Fridge, Brand New Stove & Microwave) And Shared Washer & Dryer. Basement Tenant Would Pay 40% Of The Total Utilities And Responsible For Lawn Maintenance & Snow Cleaning. (30356317)",1,House,"#BASEMEN -931 BYRON ST N|Whitby, Ontario L1N4P2","$1,500/Monthly",Single Family,Freehold,
229,"A Legal One Bedroom Brand-New Basement Apt With Brand New Appliances In The Amberlea Neighbourhood! Clean & Bright! Separate Entry! Laminate & Tiled Floors Thur-Out! Ensuite Laundry! One Designated Parking Space In The Driveway! Conveniently Located To Everything! Nearby Elementary & Secondary Public & Catholics Schools. Minutes North Of 401! Close To Plaza With 24Hr Metro, Td Bank, Rexall Drug Store & Other Specialty Shops!**** EXTRAS **** Fridge, Stove,  Washer & Dryer.  Tenant Pays 40% Of All Utilities. Tenant Responsible For The Snow Removal Of Their Parking Space. Prefer Single Or Couple, No Pets, No Smoking On Property. Tenant To Obtain Tenant Liability Insurance. (30218527)",1,Other,"1909 WILDFLOWER DR|Pickering, Ontario L1V7A7","$1,500/Monthly",Single Family,,
230,"Bright And Spacious Basement Apartment In Richmond Hill Prime Doncrest Area. Very Quiet Area. Well Maintained And Separate Entrance Thru Main Door. One Bedroom & Large Living And Dinning Space.  Kitchen And Bathroom. And One Parking Spot On Driveway.**** EXTRAS **** Washer, Dryer (As Is), Stove & Fridge. (30214026)",1,,"#13 -50 RUBIN ST|Richmond Hill, Ontario L4B3L5","$1,500/Monthly",Single Family,Condominium/Strata,1
231,"Bright & Cozy Unit On Second Floor, Self-Contained With A Separate Entrance,  All Utilities Included With One Parking. Walking Distance To Subway, Plaza, Schools, Parks And Supermarket. (30376632)",2,House,"#2ND FLR -23 LUTTRELL AVE|Toronto, Ontario M4C5E2","$1,500/Monthly",Single Family,Freehold,
232,"Great Location. Immediate Move-In With Separate Entrance. Minutes To Highway 401. Needs 24Hr Notice. Lower Tenant Pays 50% Of All Utilities.**** EXTRAS **** Fridge, Stove, Deck, 1 Parking Spot, Washer & Dryer (Shared With Upper Tenant) (30463787)",2,House,"#BSMT -214 DEARBORN AVE N|Oshawa, Ontario L1G4Z4","$1,500/Monthly",Single Family,Freehold,
233,"Best Unit In The Building! Top Floor, Southern Exposure With Extra High Ceilings And Floor To Ceiling Windows! Parking Included. Fully Furnished Smart Studios Bachelor Unit At University Studios. In The Heart Of Durham's Education Hub, Right Next To University Of Ontario Institute Of Technology And Durham College Campus. With Kitchenette And En-Suite Laundry. Good For Student Or Single Professional.**** EXTRAS **** Incl: Dining Table, 2 Chairs, Murphy Bed With Usb, T.V., Couch, Electronic Desk, Coffee Table + Window Treatment, Fridge, Microwave, Dishwasher, 2 Burner Range Top, Range Hood, Washer+Dryer. Onsite Osmows, Dominos & Starbucks (30425794)",1,Apartment,"#835 -1900 SIMCOE ST N|Oshawa, Ontario L1G4Y3","$1,500/Monthly",Single Family,Condominium/Strata,
234,"Brand New One Bedroom Basement Apartment With Separate Entrance In The Upscale Sharon Area Adjacent To Newmarket. Professionally Finished With Brand New Floors, Paint, Kitchen, Appliances, Pot Lights And Much More. Spacious And Ideal Living Situations For Young Professionals, Couples, Or Students. Conveniently Located Right By Hwy 404, Go Station, Groceries, Restaurants And Much More. Large Windows With Lots Of Natural Light, Ensuite Laundry And Perfect Sized Bedroom. A Must See To Truly Fall In Love With This Adorable Basement Apartment!**** EXTRAS **** Tenant Will Pay For 1/3 Of Utilities. Must Bring Rental Application, Job Letter, Paystubs, Complete Credit Score With Report, References And Id. Please Note This Is For The Basement Unit Only. (30463689)",1,House,"#BSMT -20 FESTIVAL CRT|East Gwillimbury, Ontario L9N0N8","$1,500/Monthly",Single Family,Freehold,1
235,"Completely Renovated ,New Modern Kitchen With Plenty Of Cabinets And Drawers New S/S Fridge, Stove And Exhaust Hood, New Flooring, Pot Lighting, Bathroom With Glass Shower, Large Bedroom With Double Closet. Features Direct Access To Shared Laundry Room, Approximate 7 Feet Tall Ceilings, All Inclusive Rent. Located On A Quiet Street Just South Of College St, Steps To Ymca At Dovercourt/College, Great Restaurants And Cafes, Walking Distance To Dufferin Mall, No Frills , Dufferin Grove And Trinity Bellwoods Park.**** EXTRAS **** S/S Fridge, Stove, Exhaust Hood, Widow Blinds. Access To Coin Op Washer/Dryer. (30455530)",1,House,"#BSMT B -52 HEYDON PARK RD|Toronto, Ontario M6J2C8","$1,500/Monthly",Single Family,Freehold,
236,"Basement Apartment Only. Separate Entrance To Basement Through Garage.  Spacious 2 Bedrooms, Kitchen,  Living Room And One Bathroom. Basement Tenant Pays 30% Of All Utilities-Hydro, Gas, Water. No Backyard Access. Laundry Is Shared.**** EXTRAS **** Key Deposit $500, Refundable Upon Vacating The Property. (30424853)",2,House,"5292 LONGHOUSE BASEMENT CRES|Mississauga, Ontario L5R3S4","$1,500/Monthly",Single Family,,2
237,"1 Bedroom Basement For Rent With Separate Entrance, Kitchen, And 1 Washroom. Separate Entrance For The Shared Laundry. Parking Spot On The Driveway. Conveniently Located Steps Away From Beau Valley Public School, Park, Shopping, And Transit. Ample Space For Parking. The Basement Floor Tenant Has To Pay 30% Utilities.**** EXTRAS **** Utilities Are To Be Transferred To The Tenant's Name Prior To The Position. Offer Includes Rental Application, Credit Report, Job Letter, First And Last Month Deposit, And 10 Posted Dated Cheques. Tenant Insurance Is Required. (30387090)",1,House,"980 RITSON  RD N|Oshawa, Ontario L1G6Z5","$1,500/Monthly",Single Family,Freehold,10
238,"Fully Furnished Basement Apartment With Separate Entrance. Close To All Amenities, Shops, Schools, Parks & Transportation. Beautiful Brand New And Professionally Finished Apartment.**** EXTRAS **** Microwave, New Blinds, Mostly New Lighting, Fridge, Stove, Stacked Washer & Dryer. 1/3 Utilities & Hydro Bill. (29953667)",2,Other,"#LOWER -41 RAVENGLOSS DR|Markham, Ontario L3T4C8","$1,500/Monthly",Single Family,,1
239,"Newly Completely Renovated, Spent Tremendous Amount To Upgrade, Bright, Beautiful, And Clean 2 Bedroom Legal Basement Apartment Has Been Meticulously Maintained. Large Clean Spacious Basement Of Detached Home In North Oshawa. Large Living Room, Open Concept Kitchen.No Pet, No Smoking Please!**** EXTRAS **** Separate Entrance. All Existing Elf, Fridge, Stove, Central A/C, Washer/Dryer. Use Of Shed In Backyard For Extra Storage. Tenants Will Pay 1/3 Of Total Utility (Water+Gas+Electricity) Monthly. 2 Parking Spots. (30161735)",2,House,"974 RITSON RD N|Oshawa, Ontario L1G6Z5","$1,500/Monthly",Single Family,Freehold,2
240,"Bright Brand New One Bedroom Unit Never Lived In! Open Concept Kitchen/Bedroom With New Appliances. Large Window,Luxury Laminate Flooring In Each Room. Spacious 3 Piece Washroom With Glass Shower. Separate Entrance To Unit  With Shared Washer And Dryer, Just Outside The Unit. Tenant To Pay 30% Of Utilities (Hydro,Gas,Water). Close To All Amenities, Mins. To Humber River Hospital, Downsview Pk., Yorkdale Mall And Wilson Subway Station.**** EXTRAS **** Fridge,Stove (Shared Washer And Dryer) Shared Use Of Backyard. No Smokers Or Pets. Landlord Is Looking For Female Tenants, International Students Or A Professional Couple. ** Wifi Included** (30457304)",1,House,"#LOWER#2 -164 RICHARD CLARK DR|Toronto, Ontario M3M1V4","$1,500/Monthly",Single Family,Freehold,
241,"All Inclusive Basement Apartment With Separate Entrance, Newly Renovated. In- Suite Laundry. 1 Parking Space Available. Look No Further You Will Not Come Across A Price Like This With All Included In Rent! Located Less Then 30 Minutes From Barrie & Bradford ! Don't Miss Out! Schedule Private Showing.**** EXTRAS **** Fridge, Stove Top, Microwave, Washer + Dryer Included. Utilities Included, Tenant Responsible For Their Own Cable/Internet. (30385654)",1,Other,"174 WAGNER CRES|Essa, Ontario L0M1B6","$1,500/Monthly",Single Family,,1
242,"1 Bedroom Basement For Rent With Separate Entrance, Kitchen, And 1 Washroom. Separate Entrance For The Shared Laundry. Parking Spot On The Driveway. Conveniently Located Steps Away From Beau Valley Public School, Park, Shopping, And Transit. Ample Space For Parking. The Basement Floor Tenant Has To Pay 30% Utilities.**** EXTRAS **** Utilities Are To Be Transferred To The Tenant's Name Prior To The Position. Offer Includes Rental Application, Credit Report, Job Letter, First And Last Month Deposit, And 10 Posted Dated Cheques. Tenant Insurance Is Required. (30387090)",1,House,"980 RITSON  RD N|Oshawa, Ontario L1G6Z5","$1,500/Monthly",Single Family,Freehold,10
243,"Welcome To This Beautiful Newly Renovated! 1 Bedroom Basement Apartment Situated In A Family Friendly Neighbourhood In Courtice.! Close To Schools, Shopping & Transit. Will Not Last Long.**** EXTRAS **** Incls Use Of Fridge, Stove, B/I Microwave,Shared Laundry!!. Non-Smokers Pls. Min 1 Yr Lease Req'd. 1st/Last Mths Rent Req'd. A++ Tenants Only! Refs, Employment Letter & Current Credit Check Req'd. Tenant Pays 40% Of Utilities (30398679)",1,Other,"5 HEARTHSTONE CRES|Clarington, Ontario L1E2X7","$1,500/Monthly",Single Family,,
244,"Quiet, Safe And Convenient Community. Separate Entrance. Clean & Spacious One Bedroom.  Separate Kitchen And Washroom. Move In Condition. Close To Top Ranked Schools, Parks, Shops. One Driveway Parking Available. *Washer & Dryer For Tenant's Private Use.**** EXTRAS **** Fridge, Stove, Microwave, Washer & Dryer, All Electric Light Fixtures. Tenant To Share 1/3 All Utilities. (30351778)",1,Other,"#BSMENT -32 LUBA AVE|Richmond Hill, Ontario L4S1G5","$1,500/Monthly",Single Family,,
245,"Solid Brick Home With Top To Bottom Renovation On A 140 Ft Treed Lot In A Wonderful & Quiet Neighborhood! Separate Side Entrance To A Spacious Basement 1 Bedroom (Large) + 1 Full Bath Apartment With Large A/G Windows Plus A Rec/Fam Room, Full Kitchen. 8Min.To Whitby Go, 6 Min.To 401, 4 Min.To Downtown Whitby,12 Min.To Colleges/Universities & Waterfront**** EXTRAS **** White Appliances (Fridge, Brand New Stove & Microwave) And Shared Washer & Dryer. Basement Tenant Would Pay 40% Of The Total Utilities And Responsible For Lawn Maintenance & Snow Cleaning. (30356317)",1,House,"#BASEMEN -931 BYRON ST N|Whitby, Ontario L1N4P2","$1,500/Monthly",Single Family,Freehold,
246,"Lease Freshly Renovated 2 Bedrooms Basement  . Upgraded Modern Kitchen With Appliances & Backsplash. Laminate Floors Throughout. Tenant Pays 40% Of Utilities. Close To All Amenities! Schools! Shopping! Transit! Parks.**** EXTRAS **** Fridge, Stove. Washer & Dryer (30372478)",2,House,"286 CENTRAL PARK (BSMT) BLVD S|Oshawa, Ontario L1H5X1","$1,500/Monthly",Single Family,Freehold,1
247,"One Bedroom Basement Unit With Lots Of Space And Exclusive Use Washer/Dryer Washer, Walking Distance To Bus Station, All Grocery Stores,  Shopping Centre And Minutes To Yonge St. One Outdoor Parking Included.**** EXTRAS **** Fridge . Stove , Microwave ,Washer And Dryer. Storage, Tenant Will Pay 1/3 Utilities,  Internet Is Included. (30375417)",1,House,"334 RITA'S AVE|Newmarket, Ontario L3X2N2","$1,500/Monthly",Single Family,Freehold,1
248,Bright And Spacious Above Grade 1 Bedroom Apt With Lots Of Windows!!!  Open Concept Main Area. All Inclusive With Lots Of Parking And Close To Boat Launch Across The Street From The Lake. Less Than 2 Years New.  Bathroom Has Walk In Shower And Heated Floors.  Bedroom Has Closet Organizer. Shared Laundry.Pet Friendly. Walk Out Sliding Door To Patio. Separate Side Entrance With Closet. (30380560),1,House,"569 VIEW LAKE RD|Scugog, Ontario L0B1K0","$1,500/Monthly",Single Family,Freehold,
